saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
0102,2001-10-20,exterieur,Malaga,1,1,N,,,,,,,
0102,2001-10-27,domicile,Betis,3,0,V,,,,,,,
0102,2001-11-04,exterieur,Real Madrid,0,2,D,,,,,,,
0102,2001-11-11,domicile,Valladolid,4,0,V,,,,,,,
0102,2001-11-17,exterieur,Las Palmas,0,0,N,,,,,,,
0102,2001-11-24,domicile,Ath Bilbao,1,2,D,,,,,,,
0102,2001-12-01,exterieur,Alaves,0,2,D,,,,,,,
0102,2001-12-09,domicile,Celta,2,2,N,,,,,,,
0102,2001-12-16,exterieur,Villarreal,1,0,V,,,,,,,
0102,2001-12-22,exterieur,Espanol,0,2,D,,,,,,,
0102,2002-01-06,domicile,Zaragoza,2,0,V,,,,,,,
0102,2002-01-13,domicile,Sevilla,3,1,V,,,,,,,
0102,2002-01-20,exterieur,Vallecano,1,2,D,,,,,,,
0102,2002-01-27,domicile,Osasuna,0,1,D,,,,,,,
0102,2002-02-02,exterieur,Tenerife,6,0,V,,,,,,,
0102,2002-02-06,domicile,Sociedad,2,0,V,,,,,,,
0102,2002-02-09,exterieur,Mallorca,0,0,N,,,,,,,
0102,2002-02-16,domicile,La Coruna,3,2,V,,,,,,,
0102,2002-02-23,exterieur,Valencia,0,2,D,,,,,,,
0102,2002-03-03,domicile,Malaga,5,1,V,,,,,,,
0102,2002-03-09,exterieur,Betis,1,2,D,,,,,,,
0102,2002-03-16,domicile,Real Madrid,1,1,N,,,,,,,
0102,2002-03-24,exterieur,Valladolid,2,1,V,,,,,,,
0102,2002-03-30,domicile,Las Palmas,1,1,N,,,,,,,
0102,2002-04-06,exterieur,Ath Bilbao,2,0,V,,,,,,,
0102,2002-04-14,domicile,Alaves,3,2,V,,,,,,,
0102,2002-04-20,exterieur,Celta,1,2,D,,,,,,,
0102,2002-04-27,domicile,Villarreal,4,1,V,,,,,,,
0102,2002-05-05,domicile,Espanol,2,0,V,,,,,,,
0102,2002-05-11,exterieur,Zaragoza,1,1,N,,,,,,,
0203,2002-09-01,domicile,Ath Madrid,2,2,N,,,,,,,
0203,2002-09-14,exterieur,Ath Bilbao,2,0,V,,,,,,,
0203,2002-09-21,domicile,Espanol,2,0,V,,,,,,,
0203,2002-09-28,exterieur,Betis,0,3,D,,,,,,,
0203,2002-10-06,domicile,Osasuna,2,2,N,,,,,,,
0203,2002-10-20,exterieur,Valladolid,1,2,D,,,,,,,
0203,2002-10-26,domicile,Alaves,6,1,V,,,,,,,
0203,2002-11-03,exterieur,Santander,1,1,N,,,,,,,
0203,2002-11-09,domicile,Villarreal,1,0,V,,,,,,,
0203,2002-11-16,exterieur,La Coruna,0,2,D,,,,,,,
0203,2002-11-23,domicile,Real Madrid,0,0,N,,,,,,,
0203,2002-12-01,exterieur,Sociedad,1,2,D,,,,,,,
0203,2002-12-07,exterieur,Vallecano,0,1,D,,,,,,,
0203,2002-12-15,domicile,Sevilla,0,3,D,,,,,,,
0203,2002-12-21,exterieur,Mallorca,4,0,V,,,,,,,
0203,2003-01-05,domicile,Recreativo,3,0,V,,,,,,,
0203,2003-01-12,exterieur,Malaga,0,0,N,,,,,,,
0203,2003-01-18,domicile,Valencia,2,4,D,,,,,,,
0203,2003-01-26,exterieur,Celta,0,2,D,,,,,,,
0203,2003-02-01,exterieur,Ath Madrid,0,3,D,,,,,,,
0203,2003-02-09,domicile,Ath Bilbao,2,2,N,,,,,,,
0203,2003-02-15,exterieur,Espanol,2,0,V,,,,,,,
0203,2003-02-22,domicile,Betis,4,0,V,,,,,,,
0203,2003-03-02,exterieur,Osasuna,2,2,N,,,,,,,
0203,2003-03-08,domicile,Valladolid,1,1,N,,,,,,,
0203,2003-03-16,exterieur,Alaves,0,0,N,,,,,,,
0203,2003-03-23,domicile,Santander,6,1,V,,,,,,,
0203,2003-04-05,exterieur,Villarreal,0,2,D,,,,,,,
0203,2003-04-12,domicile,La Coruna,2,4,D,,,,,,,
0203,2003-04-19,exterieur,Real Madrid,1,1,N,,,,,,,
0203,2003-04-27,domicile,Sociedad,2,1,V,,,,,,,
0203,2003-05-04,domicile,Vallecano,3,0,V,,,,,,,
0203,2003-05-11,exterieur,Sevilla,0,0,N,,,,,,,
0203,2003-05-18,domicile,Mallorca,1,2,D,,,,,,,
0203,2003-05-25,exterieur,Recreativo,3,1,V,,,,,,,
0203,2003-06-01,domicile,Malaga,2,1,V,,,,,,,
0203,2003-06-15,exterieur,Valencia,3,1,V,,,,,,,
0203,2003-06-22,domicile,Celta,2,0,V,,,,,,,
0304,2003-08-30,exterieur,Ath Bilbao,1,0,V,,,,,,,
0304,2003-09-03,domicile,Sevilla,1,1,N,,,,,,,
0304,2003-09-14,exterieur,Albacete,2,1,V,,,,,,,
0304,2003-09-20,domicile,Osasuna,1,1,N,,,,,,,
0304,2003-09-28,exterieur,Ath Madrid,0,0,N,,,,,,,
0304,2003-10-05,domicile,Valencia,0,1,D,,,,,,,
0304,2003-10-18,domicile,La Coruna,0,2,D,,,,,,,
0304,2003-10-26,exterieur,Mallorca,3,1,V,,,,,,,
0304,2003-10-29,domicile,Murcia,3,0,V,,,,,,,
0304,2003-11-02,exterieur,Sociedad,3,3,N,,,,,,,
0304,2003-11-09,domicile,Betis,2,1,V,,,,,,,
0304,2003-11-22,exterieur,Villarreal,1,2,D,,,,,,,
0304,2003-11-30,domicile,Valladolid,0,0,N,,,,,,,
0304,2003-12-03,exterieur,Malaga,1,5,D,,,,,,,
0304,2003-12-06,domicile,Real Madrid,1,2,D,,,,,,,
0304,2003-12-13,exterieur,Espanol,3,1,V,,,,,,,
